problem_id,difficulty,content_grouping,KCs (comma separated),max grade,type,options,problem_file_location,problem_name
QMB6TMws9HA7h,1,CG1.1.1,2,,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr1.0,Intro to Arrays #68D
QMBFHAcmt0kjS,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.1.0,Intro to Arrays #98O
QMBJw3LeTs10H,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.1.1,Intro to Arrays #39N
QMBriNEzngmZP,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.1.2,Intro to Arrays #72E
QMBLDu1UVEpjW,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.1.3,Intro to Arrays #56Z
QMBEOdlQ5IKFy,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.1.4,Intro to Arrays #24U
QMB1EPetilM84,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.1.5,Intro to Arrays #98S
QMB7N6mCwTgOl,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.1.6,Intro to Arrays #78G
QMB4koQ1gpXmE,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.1.7,Intro to Arrays #18X
QMBWy7jcmoL6f,1,CG1.1.1,"2.1.2,2.1.3,2.1.1",,Checkbox,,https://courses.edx.org/xblock/block-v1:HarvardX+QMB1+2T2017+type@problem+block@makeDynamicQuestions.py.arr2.1.8,Intro to Arrays #68P
